-11.57,2.128,3.0516,5.3044,7.66,0.3192,0.45773,0.79566,1.149
-11.48,1.8159,2.4046,3.0948,5.1929,0.3087,0.40879,0.52611,0.8828
-11.5,2.1583,2.3734,4.4208,6.2199,0.38148,0.3488,0.81673,1.4529
-11.5,2.2752,2.3816,3.7071,5.6468,0.32575,0.34099,0.53077,0.84702
-11.58,1.7952,2.8213,3.7269,6.1956,0.24372,0.4232,0.55903,0.92934
-11.53,1.8764,2.7847,5.0114,6.9038,0.31898,0.47339,0.51193,1.0356
-11.35,1.9364,1.8325,3.8457,5.1529,0.32145,0.31153,0.63839,0.68939
-11.43,1.9895,1.7482,3.6062,5.5545,0.29843,0.19589,0.54093,0.83318
-11.27,1.8073,1.7342,3.2124,4.1474,0.2711,0.26014,0.48187,0.62211
-11.19,1.7584,1.3317,1.8636,2.8275,0.26377,0.14945,0.27954,0.42413
-11,1.7676,1.1226,2.0251,2.5655,0.26513,0.14715,0.30376,0.38483
-10.76,1.861,1.0307,2.0934,1.9141,0.27915,0.16253,0.31401,0.28712
-11.59,2.028,3.2516,5.6044,8.36,0.29791,0.37629,0.57056,0.8036
